date,revenue,users
2025-01-01,100.99342830602247,79
2025-01-02,100.7168997036801,124
2025-01-03,102.01227677988147,177
2025-01-04,105.05833649269753,141
2025-01-05,104.59002974325085,178
2025-01-06,104.1217558293525,170
2025-01-07,107.28018146036729,76
2025-01-08,108.8150509186731,170
2025-01-09,107.87610214680319,165
2025-01-10,108.96122223397512,52
2025-01-11,108.0343868483502,152
2025-01-12,107.10292734120968,186
2025-01-13,107.58685188434175,111
2025-01-14,103.76029139502616,100
2025-01-15,100.31045573000009,108
2025-01-16,99.18588067151815,167
2025-01-17,97.1602184308493,145
2025-01-18,97.78871309603984,162
2025-01-19,95.97266494499742,111
2025-01-20,93.14805754232684,101
2025-01-21,96.07935508016995,61
2025-01-22,95.62780247919687,88
2025-01-23,95.76285888857272,179
2025-01-24,92.91336251614581,180
2025-01-25,91.82459706709545,162
2025-01-26,92.04644224651518,150
2025-01-27,89.74445509167057,162
2025-01-28,90.49585112836192,130
2025-01-29,89.29457374852431,162
2025-01-30,88.71118624893776,51
2025-01-31,87.50777302447896,179
2025-02-01,91.21232939349684,103
2025-02-02,91.18533494402097,136
2025-02-03,89.06991308610917,178
2025-02-04,90.71500291031555,196
2025-02-05,88.2733156103735,175
2025-02-06,88.69104280038302,179
2025-02-07,84.77170255262347,102
2025-02-08,82.1153304548266,117
2025-02-09,82.50905292656485,172
2025-02-10,83.98598608655567,194
2025-02-11,84.32872264893561,87
2025-02-12,84.09742608415914,73
2025-02-13,83.49521869298056,118
2025-02-14,80.5381747122457,165
2025-02-15,79.09848629545628,147
2025-02-16,78.1772087535367,188
2025-02-17,80.29145320597453,193
2025-02-18,80.97868978511146,146
2025-02-19,77.452609474386,173
2025-02-20,78.10077741317558,119
2025-02-21,77.33061285234295,142
2025-02-22,75.97676885173104,52
2025-02-23,77.20012142941277,197
2025-02-24,79.26212047440467,196
2025-02-25,81.12468071263706,139
2025-02-26,79.44624566619179,196
2025-02-27,78.82782091448937,197
2025-02-28,79.49034777729649,145
2025-03-01,81.44143803154121,101
2025-03-02,80.48308955585063,177
2025-03-03,80.11177160252299,88
2025-03-04,77.89910165451093,131
2025-03-05,75.5066884063496,153
2025-03-06,77.131740051138,178
2025-03-07,79.84422010827964,60
2025-03-08,79.70019986511898,91
2025-03-09,81.70726566090302,148
2025-03-10,82.4305377109983,56
2025-03-11,81.14029820178804,193
2025-03-12,81.86308941280487,139
2025-03-13,84.9391625457368,161
2025-03-14,84.8675104675169,109
2025-03-15,87.99679777914491,162
2025-03-16,82.75730757096542,51
2025-03-17,84.40111257971587,178
2025-03-18,84.57520671619221,97
2025-03-19,83.97719201526047,189
2025-03-20,84.16071356833149,86
2025-03-21,80.18557573912969,58
2025-03-22,79.74623196345468,148
2025-03-23,80.46045710647817,196
2025-03-24,83.4162451959612,97
2025-03-25,82.3797047594139,180
2025-03-26,80.76271755362752,197
2025-03-27,79.75920346645846,103
2025-03-28,81.5900077018626,169
2025-03-29,82.24750992118197,165
2025-03-30,81.18798951364789,124
2025-03-31,82.2145243798746,162
